"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "JavaScript JSX", "comment", "blank", "total"
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-staff\search-staff\search-staff.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 1, 13
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-staff\view-staff\view-staff.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 1, 15
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\add-student\add-student.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 5
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\add-student\add-student.styles.css", "CSS", 0, 0, 0, 6, 0, 0, 1, 7
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\approve-student\approve-student.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, -20, 0, 0, -20
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\approve-student\view-applicant.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, -1, 0, 0, -1
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\library-cards\add-library-card\add-library-card.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, -4, 0, 0, -4
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\search-students\search-student.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, -8, 0, 0, -8
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\profile\change-password\change-password.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Programming\Projects\library\client\src\dashboard\admin\routes\admin-routes.route.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 2, 0, 0, 2
"d:\Programming\Projects\library\client\src\dashboard\admin\routes\manage-fines.routes.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 3, 17
"d:\Programming\Projects\library\client\src\dashboard\admin\routes\manage-students.route.jsx", "JavaScript JSX", 0, 0, 0, 0, -3, 0, 0, -3
"d:\Programming\Projects\library\client\src\dashboard\applicant\applicant.page.jsx", "JavaScript JSX", 0, 0, 0, 0, -7, 0, 0, -7
"d:\Programming\Projects\library\client\src\dashboard\applicant\applied-status.page.applicant.jsx", "JavaScript JSX", 0, 0, 0, 0, 40, 0, 2, 42
"d:\Programming\Projects\library\client\src\dashboard\applicant\apply-student.page.applicant.jsx", "JavaScript JSX", 0, 0, 0, 0, 133, -1, 9, 141
"d:\Programming\Projects\library\client\src\dashboard\http-requests.js", "JavaScript", 0, -202, 0, 0, 0, 0, -4, -206
"d:\Programming\Projects\library\client\src\dashboard\login-page\forgot-password.page.jsx", "JavaScript JSX", 0, 0, 0, 0, 66, -1, 7, 72
"d:\Programming\Projects\library\client\src\dashboard\login-page\login-page.page.jsx", "JavaScript JSX", 0, 0, 0, 0, -51, -1, 2, -50
"d:\Programming\Projects\library\client\src\dashboard\login-page\login-page.styles.css", "CSS", 0, 0, 0, 16, 0, 0, 2, 18
"d:\Programming\Projects\library\client\src\dashboard\login-page\sign-up.page.jsx", "JavaScript JSX", 0, 0, 0, 0, -17, 0, 1, -16
