"filename", "language", "JSON", "JavaScript", "TypeScript JSX", "CSS", "JavaScript JSX", "Markdown", "HTML", "comment", "blank", "total"
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\searh-returned-books\view-book.issue-book.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 71, 0, 0, 0, 8, 79
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-books\add-book\add-book.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 177, 0, 0, 0, 8, 185
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-books\book-accessions\add-book-accession.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 152, 0, 0, 0, 12, 164
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-books\manage-books.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-books\search-books\search-books.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 118, 0, 0, 0, 12, 130
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-books\view-book\view-book.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 73, 0, 0, 0, 8, 81
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-staff\add-staff\add-staff.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 109, 0, 0, 0, 6, 115
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-staff\manage-staff.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-staff\search-staff\search-staff.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 62, 0, 0, 0, 9, 71
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-staff\view-staff\view-staff.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 7, 41
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\add-student\add-student.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 310, 0, 0, 0, 19, 329
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\approve-student\approve-student.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 105, 0, 0, 0, 11, 116
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\approve-student\view-applicant.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 119, 0, 0, 0, 9, 128
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\library-cards\add-library-card\add-library-card.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 131, 0, 0, 0, 10, 141
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\manage-students.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 3, 34
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\search-students\search-student.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 104, 0, 0, 0, 11, 115
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\view-student\view-student.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 99, 0, 0, 0, 12, 111
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\profile\change-password\change-password.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 90, 0, 0, 0, 8, 98
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\profile\profile.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"d:\Programming\Projects\library\client\src\dashboard\admin\routes\admin-routes.route.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 3, 29
"d:\Programming\Projects\library\client\src\dashboard\admin\routes\database.routes.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 3, 37
"d:\Programming\Projects\library\client\src\dashboard\admin\routes\issue-books.route.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 3, 31
"d:\Programming\Projects\library\client\src\dashboard\admin\routes\manage-books.route.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
"d:\Programming\Projects\library\client\src\dashboard\admin\routes\manage-staff.route.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"d:\Programming\Projects\library\client\src\dashboard\admin\routes\manage-students.route.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 3, 31
"d:\Programming\Projects\library\client\src\dashboard\admin\routes\profile.router.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"d:\Programming\Projects\library\client\src\dashboard\admin\settings\manage-programs\manage-programs.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"d:\Programming\Projects\library\client\src\dashboard\applicant\applicant.page.jsx", "JavaScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 6, 45
"d:\Programming\Projects\library\client\src\dashboard\applicant\applied-status.page.applicant.jsx", "JavaScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 3, 46
"d:\Programming\Projects\library\client\src\dashboard\applicant\apply-student.page.applicant.jsx", "JavaScript JSX", 0, 0, 0, 0, 201, 0, 0, 1, 11, 213
"d:\Programming\Projects\library\client\src\dashboard\dashboard.routes.jsx", "JavaScript JSX", 0, 0, 0, 0, 49, 0, 0, 3, 3, 55
"d:\Programming\Projects\library\client\src\dashboard\http-requests.js", "JavaScript", 0, 302, 0, 0, 0, 0, 0, 0, 27, 329
"d:\Programming\Projects\library\client\src\dashboard\login-page\forgot-password.page.jsx", "JavaScript JSX", 0, 0, 0, 0, 111, 0, 0, 2, 8, 121
"d:\Programming\Projects\library\client\src\dashboard\login-page\login-page.page.jsx", "JavaScript JSX", 0, 0, 0, 0, 155, 0, 0, 1, 13, 169
"d:\Programming\Projects\library\client\src\dashboard\login-page\sign-up.page.jsx", "JavaScript JSX", 0, 0, 0, 0, 185, 0, 0, 1, 10, 196
"d:\Programming\Projects\library\client\src\dashboard\staff\components\navbar\navbar.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 102, 0, 0, 0, 11, 113
"d:\Programming\Projects\library\client\src\dashboard\staff\hooks\http-requests.hooks.admin.js", "JavaScript", 0, 608, 0, 0, 0, 0, 0, 1, 47, 656
